Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
342,Luke Kornet,29,BOS,C,73,16,18.6,2.6,3.8,0.668,0,0,0,2.6,3.8,0.675,0.668,0.9,1.3,0.691,2.6,2.7,5.3,1.6,0.5,1,0.4,1.6,6,,kornelu01
343,Isaiah Mobley,25,PHI,PF,1,0,17,2,7,0.286,1,3,0.333,1,4,0.25,0.357,1,2,0.5,1,3,4,5,1,1,0,3,6,,mobleis01
344,Isaiah Stewart,23,DET,C,72,4,19.9,2.4,4.4,0.559,0.2,0.7,0.321,2.2,3.6,0.607,0.586,0.9,1.2,0.759,1.8,3.7,5.5,1.7,0.4,1.4,0.9,2.5,6,,stewais01
345,James Wiseman,23,IND,C,1,0,5,2,4,0.5,0,1,0,2,3,0.667,0.5,2,2,1,0,1,1,0,0,0,0,0,6,,wisemja01
346,Isaiah Wong,24,CHO,SG,20,0,13.3,2.1,5.3,0.39,0.7,1.7,0.394,1.4,3.6,0.389,0.452,1.3,1.7,0.735,0.7,0.9,1.6,1.4,0.6,0,0.9,1.1,6,,wongis01
347,Cole Swider,25,2TM,SF,10,0,16.9,2.2,6.3,0.349,1.5,4.7,0.319,0.7,1.6,0.438,0.468,0,0.1,0,0.5,2.2,2.7,0.3,0.4,0.2,0.4,1.2,5.9,,swideco01
347,Cole Swider,25,DET,SF,2,0,6.5,0,2.5,0,0,2.5,0,0,0,,0,0,0,,0,1,1,0.5,0,0,0,0.5,0,,swideco01
347,Cole Swider,25,TOR,SF,8,0,19.5,2.8,7.3,0.379,1.9,5.3,0.357,0.9,2,0.438,0.509,0,0.1,0,0.6,2.5,3.1,0.3,0.5,0.3,0.5,1.4,7.4,,swideco01
348,Chuma Okeke,26,2TM,PF,9,3,21.8,2.2,4.4,0.5,1.2,3.1,0.393,1,1.3,0.75,0.638,0.2,0.3,0.667,2.3,2.9,5.2,1.7,0.6,0.4,0.3,0.6,5.9,,okekech01
348,Chuma Okeke,26,PHI,PF,7,3,24.4,2.6,4.7,0.545,1.4,3.1,0.455,1.1,1.6,0.727,0.697,0.3,0.4,0.667,2.9,3.3,6.1,1.9,0.7,0.4,0.4,0.7,6.9,,okekech01
348,Chuma Okeke,26,CLE,PF,2,0,12.5,1,3.5,0.286,0.5,3,0.167,0.5,0.5,1,0.357,0,0,,0.5,1.5,2,1,0,0.5,0,0,2.5,,okekech01
349,Kyle Anderson,31,2TM,PF,61,4,16.4,2.3,5,0.469,0.4,1.1,0.357,1.9,3.8,0.502,0.51,0.8,1.1,0.738,0.9,2.5,3.4,2.4,0.7,0.5,0.6,1.3,5.9,,anderky01
