Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
405,Trey Jemison,25,2TM,C,38,0,392,8.9,0.537,0,0.446,12.4,17.1,14.8,5.5,1.1,3.6,21.3,12.4,0,0.3,0.3,0.037,-6.3,-0.5,-6.8,-0.5,,jemistr01
405,Trey Jemison,25,NOP,C,16,0,166,9.4,0.461,0,0.656,13.9,14.7,14.3,8,2,3.5,19.5,13,-0.1,0.1,0,0.009,-5.8,-0.4,-6.2,-0.2,,jemistr01
405,Trey Jemison,25,LAL,C,22,0,226,8.6,0.603,0,0.286,11.3,18.9,15.2,3.6,0.4,3.7,22.8,11.9,0,0.2,0.3,0.057,-6.7,-0.6,-7.3,-0.3,,jemistr01
406,Reggie Jackson,34,PHI,PG,31,1,384,9.8,0.496,0.556,0.068,2.3,10.4,6.2,17.1,2.1,0.8,11,17.5,0,0.2,0.1,0.015,-3.2,-0.8,-4,-0.2,,jacksre01
407,Baylor Scheierman,24,BOS,SG,31,2,384,10.3,0.49,0.745,0.109,5.4,13,9.2,11.3,2.2,0.5,9.4,14.5,0.2,0.5,0.7,0.089,-2.5,0.8,-1.7,0,,scheiba01
408,Quenton Jackson,26,IND,PG,28,7,381,14.7,0.58,0.328,0.328,4.1,8.7,6.4,18.6,2.6,1.2,10.3,17.7,0.6,0.4,1,0.126,-1.2,0.8,-0.3,0.2,,jacksqu01
409,Alex Len,31,2TM,C,46,7,380,10.6,0.525,0.143,0.27,11.3,16.7,14,12.6,1.2,5.4,22.1,10.3,0.2,0.4,0.7,0.083,-3.9,1.2,-2.6,-0.1,,lenal01
409,Alex Len,31,SAC,C,36,3,258,13.1,0.557,0.146,0.317,10.8,17,13.9,14.5,1.5,6.8,19.1,9.6,0.3,0.3,0.6,0.121,-2.1,2.4,0.3,0.2,,lenal01
409,Alex Len,31,LAL,C,10,4,122,5.3,0.463,0.136,0.182,12.4,16.1,14.3,8.5,0.4,2.3,27.5,11.8,-0.1,0.1,0,0.002,-7.6,-1.3,-8.9,-0.2,,lenal01
410,Johnny Furphy,20,IND,SG,50,0,379,9.8,0.506,0.543,0.239,6.8,14,10.4,6.2,2.3,2.6,10.6,13,0.1,0.5,0.5,0.07,-3,0.6,-2.5,0,,furphjo01
411,Charles Bassey,24,SAS,C,36,1,376,19,0.597,0,0.282,15.9,27.4,21.7,6.6,1.8,7.2,14.9,17.5,0.5,0.6,1.1,0.136,-1.7,0.6,-1.1,0.1,,bassech01
412,Dominick Barlow,21,ATL,PF,35,4,375,14.6,0.58,0.239,0.292,10,15,12.4,6.9,1.1,3.9,3.8,14.5,0.7,0.3,1,0.131,-1.4,-0.8,-2.2,0,,barlodo01
