Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Season
293,Patrick Beverley,35,MIL,PG,26,8,20.9,2.1,5.3,0.391,1.0,2.8,0.361,1.1,2.5,0.424,0.486,0.9,1.0,0.852,0.7,2.9,3.6,2.6,0.7,0.5,0.6,1.7,6.0,0.0,2023-24
294,Jae Crowder,33,MIL,PF,50,25,23.1,2.3,5.4,0.422,1.2,3.3,0.349,1.1,2.1,0.538,0.53,0.5,0.7,0.722,0.6,2.6,3.2,1.3,0.8,0.2,0.5,1.5,6.2,0.0,2023-24
295,Keon Johnson,21,BRK,SG,5,0,12.2,1.6,4.2,0.381,0.8,2.0,0.4,0.8,2.2,0.364,0.476,2.2,2.4,0.917,0.6,0.8,1.4,0.6,0.6,0.2,1.0,1.0,6.2,0.0,2023-24
296,Haywood Highsmith,27,MIA,PF,66,26,20.7,2.3,5.0,0.465,1.2,2.9,0.396,1.2,2.1,0.562,0.581,0.3,0.5,0.639,1.0,2.2,3.2,1.1,0.8,0.5,0.5,1.8,6.1,0.0,2023-24
297,Vit Krejci,23,ATL,PG,22,14,24.6,2.3,4.7,0.49,1.3,3.1,0.412,1.0,1.6,0.639,0.625,0.2,0.3,0.833,0.5,1.9,2.4,2.3,0.6,0.3,0.9,2.2,6.1,0.0,2023-24
298,Kris Murray,23,POR,SF,62,29,21.7,2.3,5.9,0.396,0.8,3.0,0.268,1.5,3.0,0.525,0.463,0.6,0.9,0.661,1.4,2.2,3.6,1.3,0.9,0.3,0.9,1.5,6.1,0.0,2023-24
299,Ben Simmons,27,BRK,PG,15,12,23.9,2.9,4.9,0.581,0.0,0.0,0.0,2.9,4.9,0.581,0.581,0.4,1.0,0.4,2.1,5.9,7.9,5.7,0.8,0.6,1.8,2.4,6.1,0.0,2023-24
300,Zavier Simpson,26,MEM,PG,7,0,23.0,2.4,7.7,0.315,0.7,2.4,0.294,1.7,5.3,0.324,0.361,0.4,0.6,0.75,0.6,2.3,2.9,3.6,1.0,0.4,1.4,1.6,6.0,0.0,2023-24
301,Tosan Evbuomwan,22,2TM,SF,17,8,21.6,2.1,4.2,0.507,0.7,1.9,0.375,1.4,2.3,0.615,0.592,1.0,1.5,0.68,1.1,2.5,3.5,0.9,0.4,0.3,0.5,1.4,5.9,0.0,2023-24
301,Tosan Evbuomwan,22,MEM,SF,4,0,18.5,1.0,3.8,0.267,0.5,2.0,0.25,0.5,1.8,0.286,0.333,0.0,0.0,0.0,2.0,1.5,3.5,1.5,0.0,0.3,0.3,1.3,2.5,0.0,2023-24
