player,season,age,team,position,games_played,games_started,minutes_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,points_per_game,per,usage_pct,true_shooting_pct,win_shares,Box_PlusMinus,value_over_replacement,delta_points_per_game,delta_rebounds_per_game,delta_assists_per_game,delta_per,delta_usage_pct,delta_true_shooting_pct,delta_Box_PlusMinus,delta_win_shares,delta_value_over_replacement,z_delta_points_per_game,z_delta_per,z_delta_usage_pct,z_delta_true_shooting_pct,z_delta_win_shares,breakout_score,breakout
Trendon Watford,2022-23,22.0,POR,PF,62.0,12.0,19.1,3.8,2.1,0.5,0.2,7.4,13.6,16.1,0.625,2.1,-1.8,0.1,-0.1999999999999993,-0.2999999999999998,0.40000000000000013,-2.200000000000001,-1.5,0.03500000000000003,-0.10000000000000009,0.20000000000000018,0.0,-0.3258149494340576,-1.1923818539884357,-0.6929515646564806,0.6802628875948443,-0.14963007543044923,-0.34,0
Trendon Watford,2023-24,23.0,BRK,PF,63.0,2.0,13.6,3.1,1.3,0.4,0.3,6.9,15.7,21.1,0.611,1.8,-0.5,0.3,-0.5,-0.6999999999999997,-0.8,2.0999999999999996,5.0,-0.014000000000000012,1.3,-0.30000000000000004,0.19999999999999998,-0.4206832320528497,0.6495522405301952,1.6069382413850348,-0.45763449411688856,-0.4173409277972638,0.19,0
Trendon Watford,2024-25,24.0,BRK,PF,44.0,6.0,20.8,3.6,2.6,0.6,0.3,10.2,13.0,23.3,0.557,0.7,-3.1,-0.3,3.299999999999999,0.5,1.3,-2.6999999999999993,2.1999999999999993,-0.05399999999999994,-2.6,-1.1,-0.6,0.7809816811185135,-1.4065602370719965,0.6162164787825355,-1.3865303159223823,-0.845678291584167,-0.45,0
Trent Forrest,2021-22,23.0,UTA,PG,60.0,6.0,12.8,1.7,1.8,0.5,0.1,3.3,10.9,12.8,0.554,1.3,-1.0,0.2,,,,,,,,,,,,,,,,0
Trent Forrest,2022-23,24.0,ATL,SG,23.0,3.0,12.0,1.6,1.7,0.3,0.1,2.3,6.1,11.6,0.424,-0.1,-5.1,-0.2,-1.0,-0.09999999999999987,-0.10000000000000009,-4.800000000000001,-1.200000000000001,-0.13000000000000006,-4.1,-1.4000000000000001,-0.4,-0.5787970364175028,-2.3061094460229565,-0.5868028043776418,-3.1514323773528266,-1.0063048030042556,-1.53,0
Trey Jemison,2023-24,24.0,2TM,C,25.0,14.0,22.9,5.4,1.1,0.5,1.1,6.8,11.8,13.5,0.582,0.9,-5.1,-0.5,,,,,,,,,,,,,,,,0
Trey Murphy III,2021-22,21.0,NOP,SF,62.0,1.0,13.9,2.4,0.6,0.4,0.1,5.4,12.5,15.7,0.558,1.9,-1.2,0.2,,,,,,,,,,,,,,,,0
Trey Murphy III,2022-23,22.0,NOP,SF,79.0,65.0,31.0,3.6,1.4,1.1,0.5,14.5,15.2,16.6,0.65,7.6,1.8,2.3,9.1,1.2000000000000002,0.7999999999999999,2.6999999999999993,0.9000000000000021,0.09199999999999997,3.0,5.699999999999999,2.0999999999999996,2.61510181174849,0.9065663002304691,0.15623851757423346,2.003939433667674,2.795189300604509,1.7,1
Trey Murphy III,2023-24,23.0,NOP,SF,57.0,23.0,29.6,4.9,2.2,0.9,0.5,14.8,16.3,18.6,0.612,5.4,2.5,1.9,0.3000000000000007,1.3000000000000003,0.8000000000000003,1.1000000000000014,2.0,-0.038000000000000034,0.7,-2.1999999999999993,-0.3999999999999999,-0.16770114506940445,0.22119547436307263,0.545450638596643,-1.0149719872001863,-1.4346421667911582,-0.37,0
Trey Murphy III,2024-25,24.0,NOP,SF,53.0,51.0,35.0,5.1,3.5,1.1,0.7,21.2,17.3,23.7,0.598,3.5,0.8,1.3,6.399999999999999,0.1999999999999993,1.2999999999999998,1.0,5.099999999999998,-0.014000000000000012,-1.7,-1.9000000000000004,-0.5999999999999999,1.7612872681793628,0.17835979774635968,1.6423211614779805,-0.45763449411688856,-1.2740156553710702,0.37,0
